id,views
KvhH2Cj-ecw,76104
fENVMErphCk,191175
YLzvgahYH8A,1189616
xyN_wiHEimU,59360
xmUydTb7muU,223200
4z_4jJs7Xt0,199306
EQZrNHIuF3w,923376
yQ6scJqcmoc,645104
RlilubciJDg,2692704
U7RmcgkBxAM,975795
KvRTjzFHhpA,992283
On5dlkoCPh4,843294
6jrMq45C7Sc,862327
Gaz1OWvhH9o,2218347
1eku81aT7AI,1491445
a7fHplGIays,1597240
Jc3tFtsvRd4,627861
TXyQ9L-TNhc,496931
HBKQVQ62cVs,2351052
RVHCE_m94hs,680398
n2Ri-MFc2m4,1584940
9hEMjrlKnAo,712953
ELAik1Oal7Q,798303
VDohqzlnoWg,863652
9Kejp2rGYMk,827801
jE9e4drVOQc,609062
Rq_7ingfdHU,1874846
6ZsJL1YaC1g,1542339
ufI9VRqj_is,1148915
HDP3XYlv404,1080649
cS9WOrq5h_U,607994
BY9eq0VKxuY,1192735
46KgIFv-9XU,2598691
PXq7oaJaRTo,191441
KahxDM-xZEg,1164818
f5hpBOGpjLg,718131
0Gni5n81BvY,1122285
EwUy947ppOA,492867
MkyQ8vsa0m0,2476123
Ax_3hNm57cw,370795
mwORdXvh6VM,305010
OCepn1Fw7Bg,401977
Dyf_xBIIDe4,598919
bVSVbS9VS70,294637
-6fZDwzI0j8,303822
oeu-7ELalkI,296338
L64DUTKhF9Q,181776
vWpKqpHGDrs,228519
zdVquusVIcI,1903832
QoOA3XA6DVI,2844587
Hig-GKAtqkc,706510
lTrIDZmzUJE,2430067
yQ4hJSGHL-0,344355
M4DZWWTA634,813160
G-DjyLlTa0A,117731
wc4GFWGA6Kc,458514
Sg-kCX6dSoE,294248
jg9i17oJ_zU,457722
hvStNgkJXiA,405520
l3Gxo5yQIo0,1275369
Uh_Y-Kkl8Ko,343235
GlN3b2aRWdM,752250
0aD33hsgRHE,514659
iUYP8sFzOmU,426061
n6ipZwDuEnA,343732
VvP9kek2dzI,1915035
i41Eb9RB2vc,991246
pK-3GV1xjdM,2441129
b3HH9GN3NTQ,791481
CPxVlb84q-s,1669365
YSMuW-Gp38M,706864
lyJuxevpgDM,1192802
SK8jlPlDrgc,531822
HN7Hs_tzjG4,516226
no6g6CJZIkE,821289
OvKsZ8AvX10,1299324
JxwzXRnd-Cw,863548
4JPn1uH1ycQ,1831602
7IA2p4hf0ms,844511
lIsRCKF8mgY,1550368
6ed-d5NU3k4,1035579
J2-QI3KYkB0,711222
ZacUqNnEhms,1785725
KhfE5V_5WpE,1507452
0lrQvmXGTHo,2657823
2Ctj80iW7d0,2380186
3O0jB5MVa0M,1655332
Llbsq5Faz9M,1667275
6PMiloC0a4o,1023166
AXeXAeB48Iw,637774
nR8mZB06OVE,1234291
ghmtY8oK4s0,1277173
wAnbevVroSo,1179056
W8cPaxsKXVM,951308
3Ut8V0Ho2CM,1802354
5O76QQuCDRc,2447675
dgj8g8ACGJY,457348
WfABBMpraY4,105255
d4wJKwL46Cw,1427898
V1-1BaH2znE,204158
mLWuKWmT30A,623306
B1R6pS6kJtE,318830
JPJ_-Q9-8o4,335162
JSWHDk1cN04,384551
w9yfVfibbG8,228748
6BBYXBbx3Jc,174799
6pqVuLqwCz0,199454
tQpREWnEcEY,322508
cBmQ2ScBJxU,234185
_IfQWOf1ryU,202892
164qnLceCYA,1603934
F-0ZsXeiE7A,739161
-1rPa44y2mU,998036
ve77kdlbdL8,391415
n13dMNkFOR0,523743
vHPQYmFhVOc,781531
cy0bUGamLBI,311499
PTAa-CsjXqw,884575
ufCNy6fQZ08,757611
GMS9Om8OUlU,245587
-ns_w-YhHW8,498096
Q3qDar3fqu8,449964
y8K5uint7lg,520936
QltI532Ee14,459435
wr8utw405_E,349023
QmXYDDtgauA,716214
7NmIqmWcBF4,138941
MGBAUd2Cwqc,254777
lgjpZmYY9M8,163074
u9aXoAkob1A,464199
aOl0wHa44vA,278036
LTjrKYJOf3I,400342
sR0fmD6MaHs,267279
sVh3XjlHzwY,407901
IUl55RB64t4,246481
8W0WcYjLr7I,466733
qn9h91rXPpg,866235
FGvK8uCgbZQ,1048641
0AX5pUL1GUY,1064824
3Zyj6Bz-e-k,556926
vU4YyjcGFlE,488522
vWGW88HVpQU,646282
KNYw-UY0qBs,895203
LVAN94LmOzw,701529
_vyENYHyF5E,501993
RZNK0spvW7Q,327674
q__ns-A2NoE,314962
nTGEwJk_6Fo,453033
pVi0yxma3-c,122637
EblbsGUHJY4,133219
M3fZ9FHFq4Y,157801
RNDmYO3Zgd8,165443
HGcgwB7P280,233326
0nTQnkBc_Fk,75222
wxI_K26q_Po,155948
uSJMlX6pWV8,483345
pf5zKu0patI,383758
buqAsax5ipg,524488
fd11O8CM3ZM,408174
JLarfjEtV9o,187829
Hk7_uMZH3ps,256562
nH9JET4QhDU,562356
cRbj-tJSr88,332365
5z0jj1XL3B0,453630
7rauK6d82gU,288065
6S6X2up8p_g,233737
itrw7HgLE_w,746049
t8pOhl-syQg,425992
8fUKwN-h7Ag,547989
m3uFohhtyRw,196727
zAAtCkROT4g,223162
xdLOj2YK0cA,149577
4vrQarQDTec,542102
cES7PP84aQU,166682
tJvCfCaCuOI,421615
8-uQru6Jk6E,134980
ux1fx_xP2uk,110301
Q2Y06OQZZjk,89357
YJzVMLMyijQ,300261
bNX4HvOQyK8,43209
tK-OD4ieoAE,202473
iBOhm0MCinQ,129849
wYtjS5gcUA0,172624
Pctl8-S1daU,256115
m_smzJFxiIE,274391
El2yeAtsD5U,469874
WMhFjxplPrs,154213
---6M5M6bZQ,260100
0uULKdMX9fc,134744
5Virp_DeiJ0,291847
k08hRDywdNs,210262
MrM8YTptbpA,82523
kusHbdDHzyM,111886
J5gFh7Y4UJ0,151144
pfGvOIUTdpo,154188
rS2EKCJxdCw,198822
r6ikAWXNAAg,289206
YnDm8-T-EKg,88843
Z4ZoLty1LK4,96687
BPe-M2A0sY0,184371
qFVikWyYcSg,185704
